Index,Nom de l'animal,Règne,Embranchement,Sous-embranchement,Classe,Sous-classe,Infra-classe,Ordre,Super-ordre,Sous-ordre,Infra-ordre,Famille,Super-famille,Sous-famille,Genre,Sous-genre,Tribu,Clade
408,Pygmy Tarsier,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,,,Tarsiidae,,,Tarsius,,,
409,Common Squirrel Monkey,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,,,Cebidae,,,Saimiri,,,
410,Koala,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Phascolarctidae,,,Phascolarctos,,,
411,Amerian Pika,Animaux,Chordés,Vertébrés,Mammifères,,,Lagomorpha,,,,Ochotonidae,,,Ochotona,,,
412,Tayra,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Mustelidae,,,Eira,,,
413,Little Red Flying Fox,Animaux,Chordés,Vertébrés,Mammifères,,,Chiroptera,,,,Pteropodidae,,,Pteropus,,,
414,Giant Kangaroo Rat,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Heteromyidae,,,Dipodomys,,,
415,Silky Sifaka,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Strepsirrhini,,Indriidae,,,Propithecus,,,
416,Marbled Cat,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,,Pardofelis,,,
417,Harbour Porpoise,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Phocoenidae,,,Phocoena,,,
418,Giant Anteater,Animaux,Chordés,Vertébrés,Mammifères,,,Pilosa,,,,Myrmecophagidae,,,Myrmecophaga,,,
419,Australian Sea Lion,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Otariidae,,,Neophoca,,,Pinnipedia
420,Musky Rat-Kangaroo,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,Macropodiformes,,Hypsiprymnodontidae,,,Hypsiprymnodon,,,
421,Long-Nosed Potoroo,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Potoroidae,,,Potorous,,,
422,Salt Marsh Harvest Mouse,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Cricetidae,,Neotominae,Reithrodontomys,,,
423,Bonnet Macaque,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Macaca,,,
424,Brush-Tailed Phascogale,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Dasyuromorphia,,,,Dasyuridae,,,Phascogale,,,
425,Mongoose Lemur,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Strepsirrhini,,Lemuridae,,,Eulemur,,,
426,Raccoon Dog,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Nyctereutes,,,
427,Atlantic Spotted Dolphin,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Delphinidae,,,Stenella,,,
428,Australian Snubfin Dolphin,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Delphinidae,,,Orcaella,,,
429,Southern Tamandua,Animaux,Chordés,Vertébrés,Mammifères,,,Pilosa,,,,Myrmecophagidae,,,Tamandua,,,
430,Nine-Banded Armadillo,Animaux,Chordés,Vertébrés,Mammifères,,,Cingulata,,,,Dasypodidae,,,Dasypus,,,
431,Moose,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,Ruminantia,,Cervidae,,Capreolinae,Alces,,,
432,Spotted-Necked Otter,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Mustelidae,,,Hydrictis,,,
433,Southern Hairy-Nosed Wombat,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Vombatidae,,,Lasiorhinus,,,
434,Fat Sand Mouse,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Muridae,Muroidea,Gerbillinae,Psammomys,,,
435,Brown Fur Seal,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Otariidae,,,Arctocephalus,,,Pinnipedia
436,Harbor Seal,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Phocidae,,,Phoca,,,Pinnipedia
437,Indian Porcupine,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Hystricidae,,,Hystrix,,,
438,Asian Palm Civet,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,,,Viverridae,,,Paradoxurus,,,
439,Crabeater Seal,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Phocidae,,,Lobodon,,,Pinnipedia
440,Beluga Whale,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Monodontidae,,,Delphinapterus,,,
441,Western Pygmy Possum,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Burramyidae,,,Cercartetus,,,
442,Black-and-White Ruffed Lemur,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Strepsirrhini,,Lemuridae,,,Varecia,,,
443,Grey-Headed Flying Fox,Animaux,Chordés,Vertébrés,Mammifères,,,Chiroptera,,,,Pteropodidae,,,Pteropus,,,
444,American Bison,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Bovinae,Bison,,Bovini,
445,Yellow-Bellied Glider,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Petauridae,,,Petaurus,,,
446,Matschie's Tree-Kangaroo,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Macropodidae,,,Dendrolagus,,,
447,Golden-Mantled Tree-Kangaroo,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Macropodidae,,,Dendrolagus,,,
448,Black Rat,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Muridae,Muroidea,,Rattus,,,
449,Common Chimpanzee,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Hominidae,,,Pan,,,
450,Baird's Tapir,Animaux,Chordés,Vertébrés,Mammifères,,,Perissodactyla,,,,Tapiridae,,,Tapirus,,,
451,Dusky Dolphin,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Delphinidae,,,Lagenorhynchus,,,
452,Gelada,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,Cercopithecinae,Theropithecus,,Papionini,
453,Pronghorn,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Antilocapridae,,Antilocaprinae,,,Antilocaprini,
454,European Hamster,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Cricetidae,,Cricetinae,Cricetus,,,
455,Groundhog,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,,Marmota,,,
456,Greater Bilby,Animaux,Chordés,Vertébrés,Mammifères,,Marsupial,Peramelemorphia,,,,Thylacomyidae,,,Macrotis,,,
457,Dama Gazelle,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Antilopinae,Nanger,,,
458,Vervet Monkey,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Chlorocebus,,,
459,Barbary Macaque,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Macaca,,,
460,Dorcas Gazelle,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Antilopinae,Gazella,,,
461,Blue Monkey,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,Cercopithecinae,Cercopithecus,,Cercopithecini,
462,Dibbler,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Dasyuromorphia,,,,Dasyuridae,,,Parantechinus,,Dasyurini,
463,Toque Macaque,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Macaca,,,
464,White-Fronted Capuchin,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,,,Cebidae,,,Cebus,,,
465,Nabarlek,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Macropodidae,,,Petrogale,,,
466,Silvery Gibbon,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Hylobatidae,,,Hylobates,,,
467,Blue Wildebeest,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Alcelaphinae,Connochaetes,,,
468,Swift Fox,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Vulpes,,,
469,Red-Legged Pademelon,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Macropodidae,,,Thylogale,,,
470,California Sea Lion,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Otariidae,,,Zalophus,,,Pinnipedia
471,Elephant Seal,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Phocidae,,,Mirounga,,Miroungini,Pinnipedia
472,Black Lemur,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Strepsirrhini,,Lemuridae,,,Eulemur,,,
473,Gee's Golden Langur,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Trachypithecus,,,
474,South American Sea Lion,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Otariidae,,,Otaria,,,Pinnipedia
475,Diademed Sifaka,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Strepsirrhini,,Indriidae,,,Propithecus,,,
476,Eastern Gorilla,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Hominidae,,,Gorilla,,,
477,Pacific White-Sided Dolphin,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Delphinidae,,,Lagenorhynchus,,,
478,Small Indian Civet,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,,,Viverridae,,,Viverricula,,,
479,Ross Seal,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Phocidae,,,Ommatophoca,,,Pinnipedia
480,Crowned Lemur,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Strepsirrhini,,Lemuridae,,,Eulemur,,,
481,Amazon River Dolphin,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Iniidae,,,Inia,,,
482,Pygmy Marmoset,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,,,Callitrichidae,,,Cebuella,,,
483,Indian Wolf,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Canis,,,
484,Gray Seal,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Phocidae,,,Halichoerus,,,Pinnipedia
485,African Forest Elephant,Animaux,Chordés,Vertébrés,Mammifères,,,Proboscidea,,,,Elephantidae,,,Loxodonta,,,
486,Mountain Tapir,Animaux,Chordés,Vertébrés,Mammifères,,,Perissodactyla,,,,Tapiridae,,,Tapirus,,,
487,Common Marmoset,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,,,Callitrichidae,,,Callithrix,,,
488,Black-Tailed Prairie Dog,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,,Cynomys,,,
489,Steller Sea Lion,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Otariidae,,,Eumetopias,,,Pinnipedia
490,Idaho Ground Squirrel,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,,Urocitellus,,,
491,Killer Whale,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Delphinidae,,,Orcinus,,,
492,Golden Bandicoot,Animaux,Chordés,Vertébrés,Mammifères,,Marsupial,Peramelemorphia,,,,Peramelidae,,,Isoodon,,,
493,White-Cheeked Gibbon,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Hylobatidae,,,Nomascus,,,
494,Mountain Beaver,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Aplodontiidae,,,Aplodontia,,,
495,Dwarf Sperm Whale,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Kogiidae,,,Kogia,,,
496,Mahogany Glider,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Petauridae,,,Petaurus,,,
497,Uinta Chipmunk,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,,Neotamias,,,
498,Impala,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Aepycerotinae,Aepyceros,,,
499,Parma Wallaby,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Macropodidae,,,Macropus,,,
500,South American Fur Seal,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Otariidae,,,Arctocephalus,,,Pinnipedia
501,Atlantic White-Sided Dolphin,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Delphinidae,,,Lagenorhynchus,,,
502,Field Vole,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Cricetidae,,,Microtus,,,
503,Chacoan Peccary,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Tayassuidae,,,Catagonus,,,
504,American  Beaver,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Castoridae,,,Castor,,,
505,Takin,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Caprinae,Budorcas,,,
506,Tucuxi,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Delphinidae,,,Sotalia,,,
507,Black Jackrabbit,Animaux,Chordés,Vertébrés,Mammifères,,,Lagomorpha,,,,Leporidae,,,Lepus,,,
508,Long-Nosed Bandicoot,Animaux,Chordés,Vertébrés,Mammifères,,Marsupial,Peramelemorphia,,,,Peramelidae,,,Perameles,,,
509,Pantropical Spotted Dolphin,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Delphinidae,,,Stenella,,,
510,Mantled Guereza,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Colobus,,,
511,Yellow-Footed Rock-Wallaby,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Macropodidae,,,Petrogale,,,
512,Sei Whale,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Balaenopteridae,,,Balaenoptera,,,
513,Hispid Cotton Rat,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Cricetidae,,,Sigmodon,,,
514,Woolly Flying Squirrel,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,,Eupetaurus,,Pteromyini,
515,Prairie Vole,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Cricetidae,,,Microtus,Pedomys,,
516,Northern Fur Seal,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Otariidae,,,Callorhinus,,,Pinnipedia
517,Indri,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Strepsirrhini,,Indriidae,,,Indri,,,
518,Spectral Tarsier,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,,,Tarsiidae,,,Tarsius,,,
519,Long-Beaked Common Dolphin,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Delphinidae,,,Delphinus,,,
520,Bearded Seal,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Phocidae,,,Erignathus,,,Pinnipedia
521,Red Ruffed Lemur,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Strepsirrhini,,Lemuridae,,,Varecia,,,
522,Galápagos Fur Seal,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Otariidae,,,Arctocephalus,,,Pinnipedia
523,Celebes Crested Macaque,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Macaca,,,
524,False Killer Whale,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Delphinidae,,,Pseudorca,,,
525,Ringed Seal,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Phocidae,,,Pusa,,,Pinnipedia
526,Verreaux's Sifaka,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Strepsirrhini,,Indriidae,,,Propithecus,,,
527,Antarctic Fur Seal,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Otariidae,,,Arctocephalus,,,Pinnipedia
528,Mohave Ground Squirrel,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,Xerinae,Xerospermophilus,,Marmotini,
529,Bennett's Tree-Kangaroo,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Macropodidae,,,Dendrolagus,,,
530,European Otter,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Mustelidae,,,Lutra,,,
531,Black-Capped Capuchin,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,,,Cebidae,,,Sapajus,,,
532,Fin Whale,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Balaenopteridae,,,Balaenoptera,,,
533,Brown Mouse Lemur,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Strepsirrhini,,Cheirogaleidae,,,Microcebus,,,
534,Eastern Bettong,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Potoroidae,,,Bettongia,,,
535,Common Wombat,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Vombatidae,,,Vombatus,,,
536,Thinhorn Sheep,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Caprinae,Ovis,,,
537,Marsupial Mole,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Notoryctemorphia,Australidelphia,,,Notoryctidae,,,Notoryctes,,,
538,Tasmanian Pademelon,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Macropodidae,,,Thylogale,,,
539,Red-Tailed Squirrel,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,,Sciurus,,,
540,Humpback Whale,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Balaenopteridae,,,Megaptera,,,
541,Julia Creek Dunnart,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Dasyuromorphia,,,,Dasyuridae,,,Sminthopsis,,,
542,White-Beaked Dolphin,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Delphinidae,,,Lagenorhynchus,,,
543,Patas Monkey,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,Cercopithecinae,Erythrocebus,,Cercopithecini,
544,Degu,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Octodontidae,,,Octodon,,,
545,Northern Bottlenose Whale,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Ziphiidae,,,Hyperoodon,,,
546,Lowland Anoa,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Bovinae,Bubalus,,,
547,Baird's Beaked Whale,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Ziphiidae,,Berardiinae,Berardius,,,
548,Eastern Pygmy Possum,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Burramyidae,,,Cercartetus,,,
549,Gray Slender Loris,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Strepsirrhini,,Lorisidae,,,Loris,,,
550,Coquerel's Sifaka,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Strepsirrhini,,Indriidae,,,Propithecus,,,
551,Geoffroy's Spider Monkey,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Atelidae,,Atelinae,Ateles,,,
552,North Atlantic Right Whale,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Balaenidae,,,Eubalaena,,,
553,Utah Prairie Dog,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,,Cynomys,,,
554,Hooded Seal,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Phocidae,,,Cystophora,,,Pinnipedia
555,Marbled Polecat,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Mustelidae,,,Vormela,,,
556,Red Slender Loris,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Strepsirrhini,,Lorisidae,,,Loris,,,
557,Tamaraw,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Bovinae,Bubalus,,,
558,Large Flying Fox,Animaux,Chordés,Vertébrés,Mammifères,,,Chiroptera,,,,Pteropodidae,,,Pteropus,,,
559,Chinkara,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Antilopinae,Gazella,,,
560,Common Warthog,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Suidae,,,Phacochoerus,,,
561,Gayal,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Bovinae,Bos,,,
562,Potto,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Strepsirrhini,,Lorisidae,,Perodicticinae,Perodicticus,,,
563,Domestic Sheep,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Caprinae,Ovis,,,
564,Collared Peccary,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Tayassuidae,,,Pecari,,,
565,Corsac Fox,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Vulpes,,,
566,Cuvier's Gazelle,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Antilopinae,Gazella,,,
567,West Indian Manatee,Animaux,Chordés,Vertébrés,Mammifères,,,Sirenia,,,,Trichechidae,,,Trichechus,,,
568,Striped Ground Squirrel,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,,Xerus,Euxerus,,
569,Etruscan Shrew,Animaux,Chordés,Vertébrés,Mammifères,,,Eulipotyphla,,,,Soricidae,,,Suncus,,,
570,Yellow-Necked Mouse,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Muridae,Muroidea,Murinae,Apodemus,,,
571,Collared Mangabey,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Cercocebus,,,
572,Rock Squirrel,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,,Otospermophilus,,,
573,Bushy-Tailed Opossum,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Didelphimorphia,,,,Didelphidae,,Glironiinae,Glironia,,,
574,Cape Ground Squirrel,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,,Xerus,,,
575,Bridled Nail-Tail Wallaby,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Macropodidae,,,Onychogalea,,,
576,Bushpig,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Suidae,,,Potamochoerus,,,
577,François' Langur,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Trachypithecus,,,
578,Screaming Hairy Armadillo,Animaux,Chordés,Vertébrés,Mammifères,,,Cingulata,,,,Chlamyphoridae,,,Chaetophractus,,,
579,Banded Hare-Wallaby,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Macropodidae,,Lagostrophinae,Lagostrophus,,,
580,Sloth Bear,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Ursidae,,Ursinae,Melursus,,,
581,Richardson's Ground Squirrel,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,,Urocitellus,,,
582,Yellow-Throated Marten,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Mustelidae,,,Martes,,,
583,Southern Right Whale,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Balaenidae,,,Eubalaena,,,
584,Kit Fox,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Vulpes,,,
585,Bornean Bearded Pig,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Suidae,,,Sus,,,
586,Shark Bay Mouse,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Muridae,Muroidea,,Pseudomys,,,
587,Bushbuck,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Bovinae,Tragelaphus,,,
588,Red-Fronted Lemur,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Strepsirrhini,,Lemuridae,,,Eulemur,,,
589,Antarctic Minke Whale,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Balaenopteridae,,,Balaenoptera,,,
590,Silvery Marmoset,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,,,Callitrichidae,,,Mico,,,
591,Sperm Whale,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Physeteridae,,,Physeter,,,
592,Marsh Deer,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,Ruminantia,,Cervidae,,Capreolinae,Blastocerus,,,
593,Island Fox,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Urocyon,,,
594,Bryde's Whale,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Balaenopteridae,,,Balaenoptera,,,
595,Rusa Deer,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,Ruminantia,,Cervidae,,Cervinae,Rusa,,,
596,Hazel Dormouse,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Gliridae,,Leithiinae,Muscardinus,,,
597,Pygmy Right Whale,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Cetotheriidae,,	Neobalaeninae,Caperea,,,
598,Short-Finned Pilot Whale,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Delphinidae,,,Globicephala,,,
599,North Pacific Right Whale,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Balaenidae,,,Eubalaena,,,
600,Silvery Lutung,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Trachypithecus,,,
601,Woodland Jumping Mouse,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Dipodidae,,Zapodinae,Napaeozapus,,,
