Index,Nom de l'animal,Règne,Embranchement,Sous-embranchement,Classe,Sous-classe,Infra-classe,Ordre,Super-ordre,Sous-ordre,Infra-ordre,Famille,Super-famille,Sous-famille,Genre,Sous-genre,Tribu,Clade
144,Red-Necked Wallaby,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Macropodidae,,,Macropus,Notamacropus,,
145,Leopard,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,,Panthera,,,
146,Sri Lankan Elephant,Animaux,Chordés,Vertébrés,Mammifères,,,Proboscidea,,,,Elephantidae,,,Elephas,,,
147,Lesser Hedgehog Tenrec,Animaux,Chordés,Vertébrés,Mammifères,,,Afrosoricida,,,,Tenrecidae,,,Echinops,,,
148,Indian Elephant,Animaux,Chordés,Vertébrés,Mammifères,,,Proboscidea,,,,Elephantidae,,,Elephas,,,
149,Addax,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Hippotraginae,Addax,,,
150,Red Brocket,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,Ruminantia,,Cervidae,,Capreolinae,Mazama,,,
151,Numbat,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Dasyuromorphia,,,,Myrmecobiidae,,,Myrmecobius,,,
152,Alpine Marmot,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,,Marmota,,,
153,Wildcat,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,,Felis,,,
154,American Marten,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Mustelidae,,,Martes,,,
155,Sambar,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,Ruminantia,,Cervidae,,Cervinae,Rusa,,,
156,Giant Pangolin,Animaux,Chordés,Vertébrés,Mammifères,,,Pholidota,,,,Manidae,,,Smutsia,,,
157,Least Chipmunk,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,Xerinae,Tamias,,Marmotini,
158,Donkey,Animaux,Chordés,Vertébrés,Mammifères,,,Perissodactyla,,,,Equidae,,,Equus,,,
159,White-Headed Capuchin,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,,,Cebidae,,,Cebus,,,
160,Egyptian Mongoose,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Herpestidae,,Herpestinae,Herpestes,,,
161,Springbok,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Antilopinae,Antidorcas,,Antilopini,
162,Eastern Fox Squirrel,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,,Sciurus,,,
163,Tiger,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,,Panthera,,,
164,African Civet,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,,,Viverridae,,Viverrinae,Civettictis,,,
165,Malayan Tapir,Animaux,Chordés,Vertébrés,Mammifères,,,Perissodactyla,,,,Tapiridae,,,Tapirus,,,
166,Vaquita,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Phocoenidae,,,Phocoena,,,
167,Beech Marten,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Mustelidae,,,Martes,,,
168,Giant Golden-Crowned Flying Fox,Animaux,Chordés,Vertébrés,Mammifères,,,Chiroptera,,,,Pteropodidae,,,Acerodon,,,
169,Round-Tailed Ground Squirrel,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,Xerinae,Xerospermophilus,,Marmotini,
